created_at,text,publisher
2026-03-11,"Iranian, Indian Foreign Ministers Discuss Regional Developments in Phone Call

Subrahmanyam Jaishankar, Minister of Foreign Affairs of India, held a phone conversation with Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, during which they",IRIMFA_EN
2026-03-11,"Iran FM, UN Secretary-General hold telephone conversation 

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, and António Guterres, Secretary-General of the United Nations, discussed and exchanged views in a telephone conversation regarding the",IRIMFA_EN
2026-03-12,"Iran condemns US-Zionist aggression on #Iraq's Al-Qaim crossing 

Esmail Baghaei, Spokesperson for the Ministry of Foreign Affairs, strongly condemned the American-Zionist military aggression against Iraq, which targeted the Al-Qaim border crossing, resulting in the martyrdom and",IRIMFA_EN
2026-03-13,"#Iran, #India FMs discuss fegional fallout from US-Israeli aggression 

In a telephone conversation, Iranian Foreign Minister Seyed Abbas Araghchi and his Indian counterpart, Subrahmanyam Jaishankar, discussed regional and international developments. 

Araghchi briefed the Indian",IRIMFA_EN
2026-03-14,"Iranian, Sri Lankan Foreign Ministers discuss regional developments in phone call 

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of #Iran, held a telephone conversation on Friday evening with Vijitha Herath, Minister of Foreign Affairs of #SriLanka.",IRIMFA_EN
2026-03-15,"The US’s interference in various parts of the world is one of the factors that’s causing it to become more isolated and detested in the world day by day.

Nov. 27, 2025",khamenei_ir
2026-03-17,"#Minab: When the world’s most precise missile chose a classroom:

Targeting a school and the mass killing of children are war crimes, and those responsible need to be held to account.",IRIMFA_EN
2026-03-17,"Crossing names off the list is good - doing it shoulder to shoulder with our American friends is even better.

Good to see Ambassador 
@GovMikeHuckabee
. Always a pleasure.",netanyahu
2026-03-17,"I'm here with Israel's Defense Minister, our Chief of Staff, the head of the Mossad, the Chief of Air Force, our senior commanders. In the past 24 hours, we knocked out two of the terrorist chieftains, the top terrorist chieftains of this tyranny.

Our aircraft are hitting the",netanyahu
2026-03-18,"Since the Islamic Republic of #Iran relies on the people, it doesn’t fear the US or any other Arrogant Power whatsoever.

Nov. 14, 2000",khamenei_ir
2026-03-20,"Sara and I were deeply saddened to hear of the passing of Chuck Norris, a great friend of Israel and a close personal friend.

Chuck brought martial arts and the warmth of his character to millions around the world.

May his memory be a blessing.",netanyahu
2026-03-20,"קיימתי היום הערכת מצב ביטחונית בפיקוד המרכז.

שיבחתי את פעילות צה״ל, שב״כ ומשטרת ישראל במסגרת המערכה ״שאגת הארי״. ציינתי כי מתחילת ״מלחמת התקומה״ חל שינוי משמעותי בשטח, שהתבטא בירידה דרמטית בפיגועים.

גיניתי בתוקף את מי שמגנה את מפקדי צה״ל שפועלים יומם ולילה למען ביטחון ישראל וכל",netanyahu
2026-03-21,"זהו ערב קשה מאוד במערכה על עתידנו. לפני זמן קצר שוחחתי עם ראש עיריית ערד, יאיר מעיין, וביקשתי למסור בשם כל אזרחי ישראל את תפילותינו לשלום הפצועים.

הנחתי את מנכ""לית משרדי להגיש את מלוא הסיוע הנדרש יחד עם כל משרדי הממשלה.

אני מחזק את כוחות החירום וההצלה שפועלים כעת בשטח ואני קורא",netanyahu
2026-03-22,מהזירה בערד: מסר חשוב מאוד ממני אליכם >>,netanyahu
2026-03-22,"Iran has proven again in the last 48 hours that it is the enemy of civilization and a danger to the free world: targeting children, families, and the elderly with terror missiles, threatening Jerusalem’s holy sites, launching long-range missiles, and trying to blackmail the world",netanyahu
2026-03-22,"הגעתי היום לזירות בערד ובדימונה – את מה שנפגע אנחנו נשקם ונבנה ובגדול. אני מבקש מכם, אחיי ואחיותיי, אזרחי ישראל: הישמעו להנחיות פיקוד העורף והיכנסו למרחבים המוגנים בעת ההתרעה. בעזרת השם, נשמור כולנו על נפשותינו.

צילום: אבי אוחיון, לע״מ",netanyahu
2026-03-22,"If the enemy strikes us one blow, they'll receive 10. 
June 4, 2018",khamenei_ir
2026-03-23,"מוקדם יותר היום שוחחתי עם ידידנו הנשיא טראמפ. 

הנשיא טראמפ מאמין שיש סיכוי למנף את ההישגים הכבירים שהשגנו עם צבא ארה""ב, כדי לממש את יעדי המלחמה בהסכם - הסכם שישמור על האינטרסים החיוניים שלנו. 

במקביל, אנחנו ממשיכים לתקוף גם באיראן וגם בלבנון. אנחנו כותשים את תוכנית הטילים",netanyahu
2026-03-23,"REVEALED: Two missiles launched last night by the Iranian terrorist regime towards Israel—fell in Lebanese territory

Hezbollah decided to join the Iranian terror regime in its attacks against Israel, putting the lives of Lebanese civilians and the entire State of Lebanon at",IDF
2026-03-23,"STRUCK: Several Iranian terror regime headquarters in Tehran 

Dozens of IAF fighter jets used 100+ munitions in the strikes that targeted:

• A Quds Force base used as a command post for coordinating and overseeing intelligence & operational activity
• An IRGC aerial defense",IDF
2026-03-24,"STRUCK: Iran’s central explosives production facility in Isfahan, used by the regime to develop materials for weapons.

The site had been previously targeted, and recent efforts to restore its capabilities were identified.

In parallel, dozens of additional targets were struck,",IDF
2026-03-24,"WATCH: IDF troops continue targeted ground operations in southern Lebanon 

Troops eliminated 8 terrorists and dismantled an underground shaft. Dozens of weapons were found in the shaft, including anti-tank rockets, Kalashnikov rifles, machine guns & grenades.",IDF
2026-03-24,"3,000+ strikes across Iran since the start of Operation Roaring Lion

Yesterday, the IDF targeted IRGC command centers, weapons storage facilities, and aerial defense systems. 

Overnight, an additional 50+ targets were struck, including ballistic missile storage and launch",IDF
2026-03-24,"A ballistic missile fired by the Iranian Regime fell in Beirut following multiple launches directed toward Israel.  

Once again, the Iranian regime shows it doesn’t care who gets hurt in its efforts to target Israel.",IDF
2026-03-24,Corrected map:,IDF
2026-03-24,"ELIMINATED: Muhammad Ali Kourani, a Quds Force terrorist who was advancing terror attacks directed by Iranian intelligence officials from within Lebanon.

As long as Iranian intelligence elements continue to operate and advance terror attacks from within Lebanese territory, the",IDF
2026-03-25,MORE,WhiteHouse
2026-03-25,PROTECT AMERICA!,WhiteHouse
2026-03-25,"E15 and E10 fuel standards have been waived by 
@epaleezeldin
, providing Americans with relief at the gas pumps and fortifying the national fuel supply.",WhiteHouse
2026-03-25,"Today, we honor those awarded our nation’s highest military distinction, the Medal of Honor.

Their extraordinary bravery and sacrifice will forever stand as a testament to the strength of the American spirit.",WhiteHouse
2026-03-25,Pass the SAVE America Act and SAVE AMERICA'S ELECTIONS.,WhiteHouse
2026-03-25,"Press Secretary Karoline Leavitt Briefs Members of the Media, Mar. 25, 2026",WhiteHouse
2026-03-25,"Russia's President Vladimir #Putin to Prime Minister of Vietnam 
@DPMPhamBinhMinh
.

 Vietnam has been and remains our reliable partner and friend. Our relations have stood the test of time.
t.me/MFARussia/28866",mfa_russia
2026-03-25,"Hezbollah has launched ~120 rockets from within the city of Tyre, Lebanon 

Hezbollah has deliberately embedded itself and its terrorist infrastructure near Lebanese civilian populations, using them as human shields and endangering the lives of residents.",IDF
2026-03-25,"STRUCK: 2 key naval cruise missile production sites in Tehran.

IAF fighter jets targeted facilities used by the Iranian regime to develop and manufacture long-range naval cruise missiles capable of destroying targets at sea and on land.",IDF
2026-03-25,"ICE agents are stepping up to ease airport disruptions as the Democrats’ DHS shutdown hits day 40—leaving Americans to pay the price.
@SenSchumer
 should be ashamed.",WhiteHouse
2026-03-25,"#Zakharova: This year, Russia’s most famous theatre – 
@BolshoiOfficial
 – marks its 250th anniversary.

Carefully preserving tradition while embracing new directions, the #Bolshoi showcases Russian art on the world’s leading stages & remains a pillar of global musical culture.",mfa_russia
2026-03-25,"#Zakharova: Nearly all perpetrators of the Khatyn massacre, including members of the 118th Ukrainian Police Battalion, were brought to justice.

Only those who fled to the Western occupation zone and later lived in the US and Canada escaped accountability.",mfa_russia
2026-03-25,"#Zakharova: On March 22, 2024, one of the bloodiest terrorist attacks  in recent history — the Crocus tragedy — was perpetrated.

We mourn with the victims’ families. 

Four perpetrators of the attack and their 11 accomplices were sentenced to life imprisonment.",mfa_russia
2026-03-25,"#Zakharova: Investigators concluded the Crocus attack was planned in the interests of the Kiev regime, which normalizes such methods

Case in point: bars in Ukraine are glorifying terrorists, mocking the memory of the victims [in their quintessential Neo-Nazi Ukrainian style]",mfa_russia
2026-03-25,"#Zakharova: On March 23, an agreement was signed to build a nuclear power plant in #Vietnam with the participation of 
@rosatom
.

#Rosatom is building 41 power units across 11 countries.

 This project will strengthen Vietnam’s energy security.",mfa_russia
2026-03-25,"#Zakharova: We support the priorities for #BRICS work in 2026 as set out by our Indian friends.

 We count on continued progress on Russian initiatives, including the creation of cross-border payment, settlement & depository infrastructure.",mfa_russia
2026-03-25,"#Zakharova: The US & the Republic of Korea have held another round of joint military drills – Freedom Shield.

These manoeuvres are nothing less than open preparations for war.

 Such military activity does absolutely nothing to reduce tensions on the Korean Peninsula.",mfa_russia
2026-03-25,"No ceremony is more important.

The Medal of Honor is the highest tribute to American valor — the strongest, the bravest, and the finest among us.",WhiteHouse
